Year,City,Sport,Discipline,Country,Gender,Event,Medal,Athlete
1908,London,Aquatics,Diving,GER,Men,3M Springboard,Bronze,"WALZ, Gottlob"
1908,London,Aquatics,Diving,GER,Men,3M Springboard,Gold,"ZÜRNER, Albert"
1908,London,Aquatics,Diving,GER,Men,3M Springboard,Silver,"BEHRENS, Kurt"
1908,London,Aquatics,Diving,SWE,Men,10M Platform,Bronze,"SPANGBERG, Arvid"
1908,London,Aquatics,Diving,SWE,Men,10M Platform,Gold,"JOHANSSON, Hjalmar"
1908,London,Aquatics,Diving,SWE,Men,10M Platform,Silver,"MALMSTRÖM, Karl"
1908,London,Aquatics,Diving,USA,Men,3M Springboard,Bronze,"GAIDZIK, George William"
1908,London,Aquatics,Swimming,ANZ,Men,1500M Freestyle,Bronze,"BEAUREPAIRE, Frank E."
1908,London,Aquatics,Swimming,ANZ,Men,400M Freestyle,Silver,"BEAUREPAIRE, Frank E."
1908,London,Aquatics,Swimming,AUT,Men,400M Freestyle,Bronze,"SCHEFF, Otto"
1908,London,Aquatics,Swimming,DEN,Men,100M Backstroke,Silver,"DAM, Hans Peter Ludwig"
1908,London,Aquatics,Swimming,GBR,Men,100M Backstroke,Bronze,"HARESNAPE, Herbert Nickall"
1908,London,Aquatics,Swimming,GBR,Men,1500M Freestyle,Gold,"TAYLOR, Henry"
1908,London,Aquatics,Swimming,GBR,Men,1500M Freestyle,Silver,"BATTERSBY, Thomas Sidney"
1908,London,Aquatics,Swimming,GBR,Men,200M Breaststroke,Gold,"HOLMAN, Frederick"
1908,London,Aquatics,Swimming,GBR,Men,200M Breaststroke,Silver,"ROBINSON, William Walter"
1908,London,Aquatics,Swimming,GBR,Men,400M Freestyle,Gold,"TAYLOR, Henry"
1908,London,Aquatics,Swimming,GER,Men,100M Backstroke,Gold,"BIEBERSTEIN, Arno"
1908,London,Aquatics,Swimming,HUN,Men,100M Freestyle,Silver,"HALMAY, Zoltan"
1908,London,Aquatics,Swimming,SWE,Men,100M Freestyle,Bronze,"JULIN, Harald S.A."
1908,London,Aquatics,Swimming,SWE,Men,200M Breaststroke,Bronze,"HANSSON, Pontus"
1908,London,Aquatics,Swimming,USA,Men,100M Freestyle,Gold,"DANIELS, Charles"
1908,London,Aquatics,Swimming,GBR,Men,4X200M Freestyle Relay,Gold,GBR
1908,London,Aquatics,Swimming,HUN,Men,4X200M Freestyle Relay,Silver,HUN
1908,London,Aquatics,Swimming,USA,Men,4X200M Freestyle Relay,Bronze,USA
1908,London,Aquatics,Water polo,BEL,Men,Water Polo,Silver,BEL
1908,London,Aquatics,Water polo,GBR,Men,Water Polo,Gold,GBR
1908,London,Archery,Archery,FRA,Men,Continental Style 50M,Bronze,"CABARET, Gustave"
1908,London,Archery,Archery,FRA,Men,Continental Style 50M,Gold,"GRISOT, EugÃ¨ne G."
1908,London,Archery,Archery,FRA,Men,Continental Style 50M,Silver,"VERNET, Louis"
1908,London,Archery,Archery,GBR,Men,York Round (100Y - 80Y - 60Y),Gold,"DOD, William"
1908,London,Archery,Archery,GBR,Men,York Round (100Y - 80Y - 60Y),Silver,"BROOKS-KING, Reginald B."
1908,London,Archery,Archery,GBR,Women,National Round (60Y - 50Y),Bronze,"HILL-LOWE, Beatrice Geraldine"
1908,London,Archery,Archery,GBR,Women,National Round (60Y - 50Y),Gold,"NEWALL, Sybil Fenton Quenni"
1908,London,Archery,Archery,GBR,Women,National Round (60Y - 50Y),Silver,"DOD, Charlotte"
1908,London,Archery,Archery,USA,Men,York Round (100Y - 80Y - 60Y),Bronze,"RICHARDSON, Henry Barber"
1908,London,Athletics,Athletics,ANZ,Men,3500M Walk,Bronze,"KERR, Harry E."
1908,London,Athletics,Athletics,CAN,Men,100M,Bronze,"KERR, Robert"
1908,London,Athletics,Athletics,CAN,Men,200M,Gold,"KERR, Robert"
1908,London,Athletics,Athletics,CAN,Men,Hammer Throw,Bronze,"WALSH, Cornelius"
1908,London,Athletics,Athletics,CAN,Men,Long Jump,Bronze,"BRICKER, Calvin David"
1908,London,Athletics,Athletics,CAN,Men,Pole Vault,Bronze,"ARCHIBALD, Edward Blake"
1908,London,Athletics,Athletics,CAN,Men,Triple Jump,Silver,"MACDONALD, J.Garfield"
1908,London,Athletics,Athletics,FIN,Men,Discus Throw Ancient Style,Bronze,"JÄRVINEN, Werner"
1908,London,Athletics,Athletics,FRA,Men,High Jump,Silver,"ANDRE, Georges"
1908,London,Athletics,Athletics,GBR,Men,10Miles Walk (16093M),Bronze,"SPENCER, Edward Adams"
1908,London,Athletics,Athletics,GBR,Men,10Miles Walk (16093M),Gold,"LARNER, George Edward"
1908,London,Athletics,Athletics,GBR,Men,10Miles Walk (16093M),Silver,"WEBB, Ernest"
1908,London,Athletics,Athletics,GBR,Men,1500M,Bronze,"HALLOWS, Norman"
1908,London,Athletics,Athletics,GBR,Men,1500M,Silver,"WILSON, Harold"
1908,London,Athletics,Athletics,GBR,Men,3200M Steeplechase,Gold,"RUSSELL, Arthur"
1908,London,Athletics,Athletics,GBR,Men,3200M Steeplechase,Silver,"ROBERTSON, Arthur James"
1908,London,Athletics,Athletics,GBR,Men,3500M Walk,Gold,"LARNER, George Edward"
1908,London,Athletics,Athletics,GBR,Men,3500M Walk,Silver,"WEBB, Ernest"
1908,London,Athletics,Athletics,GBR,Men,400M,Gold,"HALSWELLE, Wyndham"
1908,London,Athletics,Athletics,GBR,Men,400M Hurdles,Bronze,"TREMEER, Leonard Francis"
1908,London,Athletics,Athletics,GBR,Men,5 Miles (8047M),Gold,"VOIGT, Emil Robert"
1908,London,Athletics,Athletics,GBR,Men,5 Miles (8047M),Silver,"OWEN, Edward"
1908,London,Athletics,Athletics,GBR,Men,High Jump,Silver,"LEAHY, Cornelius"
1908,London,Athletics,Athletics,GBR,Men,Shot Put,Silver,"HORGAN, Dennis"
1908,London,Athletics,Athletics,GBR,Men,Triple Jump,Gold,"AHEARNE, Timoty J."
1908,London,Athletics,Athletics,GER,Men,800M,Bronze,"BRAUN, Hans"
1908,London,Athletics,Athletics,GRE,Men,"High Jump, Standing",Silver,"TSICLITIRAS, Konstantinos"
1908,London,Athletics,Athletics,GRE,Men,Javelin Throw Freestyle,Silver,"DORIZAS, Mikael M."
1908,London,Athletics,Athletics,GRE,Men,"Long Jump, Standing",Silver,"TSICLITIRAS, Konstantinos"
1908,London,Athletics,Athletics,HUN,Men,High Jump,Silver,"SOMODY, Istvan"
1908,London,Athletics,Athletics,ITA,Men,800M,Silver,"LUNGHI, Emilio"
1908,London,Athletics,Athletics,NOR,Men,Javelin Throw,Silver,"HALSE, Arne"
1908,London,Athletics,Athletics,NOR,Men,Javelin Throw Freestyle,Bronze,"HALSE, Arne"
1908,London,Athletics,Athletics,NOR,Men,Triple Jump,Bronze,"LARSEN, Edvard"
1908,London,Athletics,Athletics,RSA,Men,100M,Gold,"WALKER, Reginald"
1908,London,Athletics,Athletics,RSA,Men,Marathon,Silver,"HEFFERON, Charles A."
1908,London,Athletics,Athletics,SWE,Men,5 Miles (8047M),Bronze,"SVANBERG, Johan Fritiof"
1908,London,Athletics,Athletics,SWE,Men,Javelin Throw,Bronze,"NILSSON, Otto"
1908,London,Athletics,Athletics,SWE,Men,Javelin Throw,Gold,"LEMMING, Eric"
1908,London,Athletics,Athletics,SWE,Men,Javelin Throw Freestyle,Gold,"LEMMING, Eric"
1908,London,Athletics,Athletics,SWE,Men,Pole Vault,Bronze,"SÖDERSTRÖM, Bruno"
1908,London,Athletics,Athletics,USA,Men,100M,Silver,"RECTOR, James"
1908,London,Athletics,Athletics,USA,Men,110M Hurdles,Bronze,"SHAW, Arthur"
1908,London,Athletics,Athletics,USA,Men,110M Hurdles,Gold,"SMITHSON, Forrest"
1908,London,Athletics,Athletics,USA,Men,110M Hurdles,Silver,"GARRELS, John Carlyle"
1908,London,Athletics,Athletics,USA,Men,1500M,Gold,"SHEPPARD, Melvin"
1908,London,Athletics,Athletics,USA,Men,200M,Bronze,"CARTMELL, John Nathaniel"
1908,London,Athletics,Athletics,USA,Men,200M,Silver,"CLOUGHEN, Robert"
1908,London,Athletics,Athletics,USA,Men,3200M Steeplechase,Bronze,"EISELE, John Lincoln"
1908,London,Athletics,Athletics,USA,Men,400M Hurdles,Gold,"BACON, Charles Joseph"
1908,London,Athletics,Athletics,USA,Men,400M Hurdles,Silver,"HILLMAN, Harry"
1908,London,Athletics,Athletics,USA,Men,800M,Gold,"SHEPPARD, Melvin"
1908,London,Athletics,Athletics,USA,Men,Discus Throw,Bronze,"HORR, Marquis Franklin"
1908,London,Athletics,Athletics,USA,Men,Discus Throw,Gold,"SHERIDAN, Martin"
1908,London,Athletics,Athletics,USA,Men,Discus Throw,Silver,"GIFFIN, Merritt Hayward"
1908,London,Athletics,Athletics,USA,Men,Discus Throw Ancient Style,Gold,"SHERIDAN, Martin"
1908,London,Athletics,Athletics,USA,Men,Discus Throw Ancient Style,Silver,"HORR, Marquis Franklin"
1908,London,Athletics,Athletics,USA,Men,Hammer Throw,Gold,"FLANAGAN, John Jesus"
1908,London,Athletics,Athletics,USA,Men,Hammer Throw,Silver,"MCGRATH, Matthew J."
1908,London,Athletics,Athletics,USA,Men,High Jump,Gold,"PORTER, Harry Franklin"
1908,London,Athletics,Athletics,USA,Men,"High Jump, Standing",Gold,"EWRY, Ray"
1908,London,Athletics,Athletics,USA,Men,"High Jump, Standing",Silver,"BILLER, John"
1908,London,Athletics,Athletics,USA,Men,Long Jump,Gold,"IRONS, Francis C."
1908,London,Athletics,Athletics,USA,Men,Long Jump,Silver,"KELLY, Daniel"
1908,London,Athletics,Athletics,USA,Men,"Long Jump, Standing",Bronze,"SHERIDAN, Martin"
1908,London,Athletics,Athletics,USA,Men,"Long Jump, Standing",Gold,"EWRY, Ray"
1908,London,Athletics,Athletics,USA,Men,Marathon,Bronze,"FORSHAW, Joseph"
1908,London,Athletics,Athletics,USA,Men,Marathon,Gold,"HAYES, John Joseph"
1908,London,Athletics,Athletics,USA,Men,Pole Vault,Bronze,"JACOBS, Charles Sherman"
1908,London,Athletics,Athletics,USA,Men,Shot Put,Bronze,"GARRELS, John Carlyle"
1908,London,Athletics,Athletics,USA,Men,Shot Put,Gold,"ROSE, Ralph"
1908,London,Athletics,Athletics,FRA,Men,3Miles Team (4828M),Bronze,FRA
1908,London,Athletics,Athletics,GBR,Men,3Miles Team (4828M),Gold,GBR
1908,London,Athletics,Athletics,GER,Men,4X400M Relay,Silver,GER
1908,London,Athletics,Athletics,HUN,Men,4X400M Relay,Bronze,HUN
1908,London,Athletics,Athletics,USA,Men,3Miles Team (4828M),Silver,USA
1908,London,Athletics,Athletics,USA,Men,4X400M Relay,Gold,USA
1908,London,Athletics,Athletics,USA,Men,Pole Vault,Gold,USA
1908,London,Boxing,Boxing,ANZ,Men,63.5 - 71.67KG (Middleweight),Silver,"BAKER, Reginald L."
1908,London,Boxing,Boxing,GBR,Men,+ 71.67KG (Heavyweight),Bronze,"PARKS, Frederick"
1908,London,Boxing,Boxing,GBR,Men,+ 71.67KG (Heavyweight),Gold,"OLDMAN, Albert Leonard"
1908,London,Boxing,Boxing,GBR,Men,+ 71.67KG (Heavyweight),Silver,"EVANS, Sydney Charles H."
1908,London,Boxing,Boxing,GBR,Men,- 52.62KG (Bantamweight),Bronze,"WEBB, William"
1908,London,Boxing,Boxing,GBR,Men,- 52.62KG (Bantamweight),Gold,"THOMAS, A. Henry"
1908,London,Boxing,Boxing,GBR,Men,- 52.62KG (Bantamweight),Silver,"CONDON, John"
1908,London,Boxing,Boxing,GBR,Men,52.62 - 57.15KG (Featherweight),Bronze,"RODDIN, Hugh"
1908,London,Boxing,Boxing,GBR,Men,52.62 - 57.15KG (Featherweight),Gold,"GUNN, Richard Kenneth"
1908,London,Boxing,Boxing,GBR,Men,52.62 - 57.15KG (Featherweight),Silver,"MORRIS, Charles W."
1908,London,Boxing,Boxing,GBR,Men,57.15 - 63.5KG (Lightweight),Bronze,"JOHNSON, Harry H."
1908,London,Boxing,Boxing,GBR,Men,57.15 - 63.5KG (Lightweight),Gold,"GRACE, Frederick"
1908,London,Boxing,Boxing,GBR,Men,57.15 - 63.5KG (Lightweight),Silver,"SPILLER, M. Frederick"
1908,London,Boxing,Boxing,GBR,Men,63.5 - 71.67KG (Middleweight),Bronze,"PHILO, William"
1908,London,Boxing,Boxing,GBR,Men,63.5 - 71.67KG (Middleweight),Gold,"DOUGLAS, John William Henry T."
1908,London,Cycling,Cycling Track,BEL,Men,20KM,Bronze,"WERBROECK, Joseph"
1908,London,Cycling,Cycling Track,FRA,Men,100KM,Bronze,"LAPIZE, Octave"
1908,London,Cycling,Cycling Track,FRA,Men,5000M,Bronze,"AUFFRAY, André"
1908,London,Cycling,Cycling Track,FRA,Men,5000M,Silver,"SCHILLES, Maurice"
1908,London,Cycling,Cycling Track,FRA,Men,One Lap (660Y) Sprint,Silver,"DEMANGEL, Emile"
1908,London,Cycling,Cycling Track,GBR,Men,100KM,Gold,"BARTLETT, Charles Henry"
1908,London,Cycling,Cycling Track,GBR,Men,100KM,Silver,"DENNY, Arthur"
1908,London,Cycling,Cycling Track,GBR,Men,20KM,Gold,"KINGSBURY, Clarence Brickwood"
1908,London,Cycling,Cycling Track,GBR,Men,20KM,Silver,"JONES, Benjamin"
1908,London,Cycling,Cycling Track,GBR,Men,5000M,Gold,"JONES, Benjamin"
1908,London,Cycling,Cycling Track,GBR,Men,One Lap (660Y) Sprint,Gold,"JOHNSON, Victor Louis"
1908,London,Cycling,Cycling Track,GER,Men,One Lap (660Y) Sprint,Bronze,"NEUMER, Karl"
1908,London,Cycling,Cycling Track,CAN,Men,"1980 Yards Pursuit, Team",Bronze,CAN
1908,London,Cycling,Cycling Track,FRA,Men,2000M Tandem,Gold,FRA
1908,London,Cycling,Cycling Track,GBR,Men,"1980 Yards Pursuit, Team",Gold,GBR
1908,London,Cycling,Cycling Track,GBR,Men,2000M Tandem,Bronze,GBR
1908,London,Cycling,Cycling Track,GBR,Men,2000M Tandem,Silver,GBR
1908,London,Cycling,Cycling Track,GER,Men,"1980 Yards Pursuit, Team",Silver,GER
1908,London,Fencing,Fencing,BOH,Men,Sabre Individual,Bronze,"GOPPOLD DE LOBSDORF, Vilem"
1908,London,Fencing,Fencing,FRA,Men,Épée Individual,Bronze,"OLIVIER, Eugène Victor"
1908,London,Fencing,Fencing,FRA,Men,Épée Individual,Gold,"ALIBERT, Gaston"
1908,London,Fencing,Fencing,FRA,Men,Épée Individual,Silver,"LIPPMANN, Alexandre"
1908,London,Fencing,Fencing,HUN,Men,Sabre Individual,Gold,"FUCHS, Jenö"
1908,London,Fencing,Fencing,HUN,Men,Sabre Individual,Silver,"ZULAWSKY, Béla"
1908,London,Fencing,Fencing,BEL,Men,Épée Team,Bronze,BEL
1908,London,Fencing,Fencing,BOH,Men,Sabre Team,Bronze,BOH
1908,London,Fencing,Fencing,FRA,Men,Épée Team,Gold,FRA
1908,London,Fencing,Fencing,GBR,Men,Épée Team,Silver,GBR
1908,London,Fencing,Fencing,HUN,Men,Sabre Team,Gold,HUN
1908,London,Fencing,Fencing,ITA,Men,Sabre Team,Silver,ITA
1908,London,Football,Football,DEN,Men,Football,Silver,DEN
1908,London,Football,Football,GBR,Men,Football,Gold,GBR
1908,London,Football,Football,NED,Men,Football,Bronze,NED
1908,London,Gymnastics,Artistic G.,FRA,Men,Individual All-Round,Bronze,"SEGURA, B. Louis"
1908,London,Gymnastics,Artistic G.,GBR,Men,Individual All-Round,Silver,"TYSAL, S.W."
1908,London,Gymnastics,Artistic G.,ITA,Men,Individual All-Round,Gold,"BRAGLIA, G. Alberto"
1908,London,Gymnastics,Artistic G.,FIN,Men,Team Competition,Bronze,FIN
1908,London,Gymnastics,Artistic G.,NOR,Men,Team Competition,Silver,NOR
1908,London,Gymnastics,Artistic G.,SWE,Men,Team Competition,Gold,SWE
1908,London,Hockey,Hockey,GBR,Men,Hockey,Gold,GBR
1908,London,Hockey,Hockey,GBR,Men,Hockey,Silver,GBR
1908,London,Jeu de paume,Jeu de Paume,GBR,Men,Individual,Bronze,"LYTTON, Neville Stephen"
1908,London,Jeu de paume,Jeu de Paume,GBR,Men,Individual,Silver,"MILES, Eustace Hamilton"
1908,London,Jeu de paume,Jeu de Paume,USA,Men,Individual,Gold,"GOULD, Jay"
1908,London,Lacrosse,Lacrosse,CAN,Men,Lacrosse,Gold,CAN
1908,London,Lacrosse,Lacrosse,GBR,Men,Lacrosse,Silver,GBR
1908,London,Polo,Polo,GBR,Men,Polo,Gold,GBR
1908,London,Polo,Polo,GBR,Men,Polo,Silver,GBR
1908,London,Rackets,Rackets,GBR,Men,Individual,Gold,"NOEL, Evan Baille"
1908,London,Rackets,Rackets,GBR,Men,Individual,Silver,"LEAF, Henry Meredith"
1908,London,Rackets,Rackets,GBR,Men,Double,Bronze,GBR
1908,London,Rackets,Rackets,GBR,Men,Double,Gold,GBR
1908,London,Rackets,Rackets,GBR,Men,Double,Silver,GBR
1908,London,Rackets,Rackets,GBR,Men,Individual,Bronze,GBR
1908,London,Rowing,Rowing,GBR,Men,Single Sculls (1X),Gold,"BLACKSTAFFE, Harry Thomas"
1908,London,Rowing,Rowing,GBR,Men,Single Sculls (1X),Silver,"MCCULLOCH, Alexander"
1908,London,Rowing,Rowing,GER,Men,Single Sculls (1X),Bronze,"VON GAZA, Bernhard"
1908,London,Rowing,Rowing,HUN,Men,Single Sculls (1X),Bronze,"LEVICZKY, Károly"
1908,London,Rowing,Rowing,BEL,Men,Eight With Coxswain (8+),Silver,BEL
1908,London,Rowing,Rowing,CAN,Men,Coxless Pair (2-),Bronze,CAN
1908,London,Rowing,Rowing,CAN,Men,Eight With Coxswain (8+),Bronze,CAN
1908,London,Rowing,Rowing,GBR,Men,Coxless Pair (2-),Gold,GBR
1908,London,Rowing,Rowing,GBR,Men,Coxless Pair (2-),Silver,GBR
1908,London,Rowing,Rowing,GBR,Men,Eight With Coxswain (8+),Bronze,GBR
1908,London,Rowing,Rowing,GBR,Men,Eight With Coxswain (8+),Gold,GBR
1908,London,Rowing,Rowing,GBR,Men,Four Without Coxswain (4-),Gold,GBR
1908,London,Rowing,Rowing,GBR,Men,Four Without Coxswain (4-),Silver,GBR
1908,London,Rowing,Rowing,GER,Men,Coxless Pair (2-),Bronze,GER
1908,London,Rugby,Rugby,ANZ,Men,Rugby,Gold,ANZ
1908,London,Rugby,Rugby,GBR,Men,Rugby,Silver,GBR
1908,London,Sailing,Sailing,BEL,Men,6M,Silver,BEL
1908,London,Sailing,Sailing,FRA,Men,6M,Bronze,FRA
1908,London,Sailing,Sailing,GBR,Men,12M,Gold,GBR
1908,London,Sailing,Sailing,GBR,Men,12M,Silver,GBR
1908,London,Sailing,Sailing,GBR,Men,6M,Gold,GBR
1908,London,Sailing,Sailing,GBR,Men,7M,Gold,GBR
1908,London,Sailing,Sailing,GBR,Men,8M,Bronze,GBR
1908,London,Sailing,Sailing,GBR,Men,8M,Gold,GBR
1908,London,Sailing,Sailing,SWE,Men,8M,Silver,SWE
1908,London,Shooting,Shooting,BEL,Men,50M Pistol (60 Shots),Gold,"VAN ASBROECK, Paul"
1908,London,Shooting,Shooting,BEL,Men,50M Pistol (60 Shots),Silver,"STORMS, Réginald"
1908,London,Shooting,Shooting,CAN,Men,Trap (125 Targets),Gold,"EWING, Walter Henry"
1908,London,Shooting,Shooting,CAN,Men,Trap (125 Targets),Silver,"BEATTIE, George"
1908,London,Shooting,Shooting,GBR,Men,"1000Y Free Rifle, Prone",Bronze,"BLOOD, Maurice"
1908,London,Shooting,Shooting,GBR,Men,"1000Y Free Rifle, Prone",Gold,"MILNER, Joshua Kearney"
1908,London,Shooting,Shooting,GBR,Men,"100M Running Deer, Double Shots",Silver,"RANKEN, Ted"
1908,London,Shooting,Shooting,GBR,Men,"100M Running Deer, Single Shots",Bronze,"ROGERS, Alexander Elliott"
1908,London,Shooting,Shooting,GBR,Men,"100M Running Deer, Single Shots",Silver,"RANKEN, Ted"
1908,London,Shooting,Shooting,GBR,Men,"25Y Small Bore Rifle, Disappearing Target",Bronze,"AMOORE, Edward John"
1908,London,Shooting,Shooting,GBR,Men,"25Y Small Bore Rifle, Disappearing Target",Gold,"STYLES, William Kensett"
1908,London,Shooting,Shooting,GBR,Men,"25Y Small Bore Rifle, Disappearing Target",Silver,"HAWKINS, Harold I."
1908,London,Shooting,Shooting,GBR,Men,"25Y Small Bore Rifle, Moving Target",Bronze,"MARSDEN, William B."
1908,London,Shooting,Shooting,GBR,Men,"25Y Small Bore Rifle, Moving Target",Gold,"FLEMING, John Francis"
1908,London,Shooting,Shooting,GBR,Men,"25Y Small Bore Rifle, Moving Target",Silver,"MATTHEWS, Michael K."
1908,London,Shooting,Shooting,GBR,Men,50M Rifle Prone (60 Shots),Bronze,"BARNES, George"
1908,London,Shooting,Shooting,GBR,Men,50M Rifle Prone (60 Shots),Gold,"CARNELL, Arthur Ashton"
1908,London,Shooting,Shooting,GBR,Men,50M Rifle Prone (60 Shots),Silver,"HUMBY, Harry Robinson"
1908,London,Shooting,Shooting,GBR,Men,Trap (125 Targets),Bronze,"MAUNDER, Alexander"
1908,London,Shooting,Shooting,NOR,Men,300M Free Rifle 3 Positions (3X40 Shots),Bronze,"SAETHER, Olaf"
1908,London,Shooting,Shooting,NOR,Men,300M Free Rifle 3 Positions (3X40 Shots),Gold,"HELGERUD, Albert"
1908,London,Shooting,Shooting,SWE,Men,"100M Running Deer, Double Shots",Bronze,"SWAHN, Oscar"
1908,London,Shooting,Shooting,SWE,Men,"100M Running Deer, Single Shots",Gold,"SWAHN, Oscar"
1908,London,Shooting,Shooting,USA,Men,"1000Y Free Rifle, Prone",Silver,"CASEY, Kellog Kennon Venable"
1908,London,Shooting,Shooting,USA,Men,"100M Running Deer, Double Shots",Gold,"WINANS, Walter"
1908,London,Shooting,Shooting,USA,Men,300M Free Rifle 3 Positions (3X40 Shots),Silver,"SIMON, Harry E."
1908,London,Shooting,Shooting,USA,Men,50M Pistol (60 Shots),Bronze,"GORMAN, James Edward"
1908,London,Shooting,Shooting,BEL,Men,"50Y Army Pistol, Team",Silver,BEL
1908,London,Shooting,Shooting,CAN,Men,"Clay Pigeons, Team",Silver,CAN
1908,London,Shooting,Shooting,CAN,Men,"Rifle, Team",Bronze,CAN
1908,London,Shooting,Shooting,FRA,Men,"50+100Y Small Bore Rifle, Team",Bronze,FRA
1908,London,Shooting,Shooting,FRA,Men,"Free Rifle, Team",Bronze,FRA
1908,London,Shooting,Shooting,GBR,Men,"100M Running Deer, Single Shots, Team",Silver,GBR
1908,London,Shooting,Shooting,GBR,Men,"50+100Y Small Bore Rifle, Team",Gold,GBR
1908,London,Shooting,Shooting,GBR,Men,"50Y Army Pistol, Team",Bronze,GBR
1908,London,Shooting,Shooting,GBR,Men,"Clay Pigeons, Team",Bronze,GBR
1908,London,Shooting,Shooting,GBR,Men,"Clay Pigeons, Team",Gold,GBR
1908,London,Shooting,Shooting,GBR,Men,"Rifle, Team",Silver,GBR
1908,London,Shooting,Shooting,NOR,Men,"Free Rifle, Team",Gold,NOR
1908,London,Shooting,Shooting,SWE,Men,"100M Running Deer, Single Shots, Team",Gold,SWE
1908,London,Shooting,Shooting,SWE,Men,"50+100Y Small Bore Rifle, Team",Silver,SWE
1908,London,Shooting,Shooting,SWE,Men,"Free Rifle, Team",Silver,SWE
1908,London,Shooting,Shooting,USA,Men,"50Y Army Pistol, Team",Gold,USA
1908,London,Shooting,Shooting,USA,Men,"Rifle, Team",Gold,USA
1908,London,Skating,Figure skating,GBR,Men,Pairs,Bronze,"SYERS, Edgar"
1908,London,Skating,Figure skating,GBR,Men,Pairs,Silver,"JOHNSON, James"
1908,London,Skating,Figure skating,GBR,Men,Special Figures,Bronze,"HALL-SAY, George Norman Ernest"
1908,London,Skating,Figure skating,GBR,Men,Special Figures,Silver,"CUMMING, Arthur"
1908,London,Skating,Figure skating,GBR,Women,Individual,Gold,"SYERS, Florence"
1908,London,Skating,Figure skating,GBR,Women,Pairs,Bronze,"SYERS, Florence"
1908,London,Skating,Figure skating,GBR,Women,Pairs,Silver,"JOHNSON, Phyllis"
1908,London,Skating,Figure skating,GER,Men,Pairs,Gold,"BURGER, Heinrich"
1908,London,Skating,Figure skating,GER,Women,Individual,Bronze,"GREENHOUGH-SMITH, Dorothy"
1908,London,Skating,Figure skating,GER,Women,Individual,Silver,"RENDSCHMIDT, Else"
1908,London,Skating,Figure skating,GER,Women,Pairs,Gold,"HÜBLER, Anna"
1908,London,Skating,Figure skating,RU1,Men,Special Figures,Gold,"PANIN, Nikolay"
1908,London,Skating,Figure skating,SWE,Men,Individual,Bronze,"THOREN, Per"
1908,London,Skating,Figure skating,SWE,Men,Individual,Gold,"SALCHOW, Ulrich"
1908,London,Skating,Figure skating,SWE,Men,Individual,Silver,"JOHANSSON, Richard"
1908,London,Tennis,Tennis,GBR,Men,Singles,Bronze,"EAVES, Wilberforce Vaughan"
1908,London,Tennis,Tennis,GBR,Men,Singles,Gold,"RITCHIE, Josiah George"
1908,London,Tennis,Tennis,GBR,Men,Singles Indoor,Bronze,"RITCHIE, Josiah George"
1908,London,Tennis,Tennis,GBR,Men,Singles Indoor,Gold,"GORE, Arthur Wentworth"
1908,London,Tennis,Tennis,GBR,Men,Singles Indoor,Silver,"CARIDIA, George Aristedes"
1908,London,Tennis,Tennis,GBR,Women,Singles,Bronze,"WINCH, Ruth Joan"
1908,London,Tennis,Tennis,GBR,Women,Singles,Gold,"CHAMBERS, Dorothy Katherine"
1908,London,Tennis,Tennis,GBR,Women,Singles,Silver,"BOOTHBY, Penelope Dora Harvey"
1908,London,Tennis,Tennis,GBR,Women,Singles Indoor,Gold,"EASTLAKE-SMITH, Gwendoline"
1908,London,Tennis,Tennis,GBR,Women,Singles Indoor,Silver,"GREENE, Angela Nora G."
1908,London,Tennis,Tennis,GER,Men,Singles,Silver,"FROITZHEIM, Otto"
1908,London,Tennis,Tennis,SWE,Women,Singles Indoor,Bronze,"ADLERSTRAHLE, Märtha"
1908,London,Tennis,Tennis,GBR,Men,Doubles,Bronze,GBR
1908,London,Tennis,Tennis,GBR,Men,Doubles,Gold,GBR
1908,London,Tennis,Tennis,GBR,Men,Doubles,Silver,GBR
1908,London,Tennis,Tennis,GBR,Men,Doubles Indoor,Gold,GBR
1908,London,Tennis,Tennis,GBR,Men,Doubles Indoor,Silver,GBR
1908,London,Tennis,Tennis,SWE,Men,Doubles Indoor,Bronze,SWE
1908,London,Tug of War,Tug of War,GBR,Men,Tug Of War,Bronze,GBR
1908,London,Tug of War,Tug of War,GBR,Men,Tug Of War,Gold,GBR
1908,London,Tug of War,Tug of War,GBR,Men,Tug Of War,Silver,GBR
1908,London,Water Motorsports,Water Motorspor,FRA,Men,Open Class A,Gold,"THUBRON, Emile"
1908,London,Water Motorsports,Water Motorspor,GBR,Men,8M Class C,Gold,GBR
1908,London,Water Motorsports,Water Motorspor,GBR,Men,Class B Up To 60 Feet,Gold,GBR
1908,London,Wrestling,Wrestling Free.,CAN,Men,- 54KG (Bantamweight),Bronze,"COTE, Aubert"
1908,London,Wrestling,Wrestling Free.,GBR,Men,+ 73KG (Heavyweight),Bronze,"BARRETT, Edward Edmond"
1908,London,Wrestling,Wrestling Free.,GBR,Men,+ 73KG (Heavyweight),Gold,"O'KELLY, George Cornelius"
1908,London,Wrestling,Wrestling Free.,GBR,Men,- 54KG (Bantamweight),Silver,"PRESS, William J."
1908,London,Wrestling,Wrestling Free.,GBR,Men,54 - 60.3KG (Featherweight),Bronze,"MCKIE, William"
1908,London,Wrestling,Wrestling Free.,GBR,Men,54 - 60.3KG (Featherweight),Silver,"SLIM, James P."
